,tg,lon_x,lat_x,twcrPath,era20cPath,eraintPath,merraPath,erafivePath,20CR,ERA-20c,ERA-Interim,MERRA,ERA-FIVE,lowestRMSE,twcrBest,era20cBest,eraintBest,merraBest,erafiveBest
36,"arecibo,_pr_735a_usa.csv",-66.702,18.48,"./20cr/arecibo,_pr_735a_usa.7z","./era20c/arecibo,_pr_735a_usa.7z","./eraint/arecibo,_pr_735a_usa.7z","./merra/arecibo,_pr_735a_usa.7z","./erafive/arecibo,_pr_735a_usa.7z",0.034258063,0.041100707,0.033456744,0.033998837000000004,0.03265496,ERA-FIVE,nan,nan,nan,nan,best
37,"arena_cove,_ca_573a_usa.csv",-123.71,38.913000000000004,"./20cr/arena_cove,_ca_573a_usa.7z","./era20c/arena_cove,_ca_573a_usa.7z","./eraint/arena_cove,_ca_573a_usa.7z","./merra/arena_cove,_ca_573a_usa.7z","./erafive/arena_cove,_ca_573a_usa.7z",0.141543953,0.128281048,0.08072834799999999,0.09217620900000001,0.091585763,ERA-Interim,nan,nan,best,nan,nan
38,"argentia,nf_00835_canada.csv",-53.983000000000004,47.3,"./20cr/argentia,nf_00835_canada.7z","./era20c/argentia,nf_00835_canada.7z","./eraint/argentia,nf_00835_canada.7z","./merra/argentia,nf_00835_canada.7z","./erafive/argentia,nf_00835_canada.7z",0.14830189300000002,0.11619146400000001,0.10678527800000001,0.10437006800000001,0.10937847699999999,MERRA,nan,nan,nan,best,nan
39,arica_083a_chile.csv,-70.333,-18.467,./20cr/arica_083a_chile.7z,./era20c/arica_083a_chile.7z,./eraint/arica_083a_chile.7z,./merra/arica_083a_chile.7z,./erafive/arica_083a_chile.7z,0.048579209000000005,0.052059035,0.050472419000000004,0.047515743,0.049888547000000005,MERRA,nan,nan,nan,best,nan
40,arrecife_arre_spain.csv,-13.53,28.971999999999998,./20cr/arrecife_arre_spain.7z,./era20c/arrecife_arre_spain.7z,./eraint/arrecife_arre_spain.7z,./merra/arrecife_arre_spain.7z,./erafive/arrecife_arre_spain.7z,0.093848839,0.092030129,0.092591319,0.090582694,0.090301345,ERA-FIVE,nan,nan,nan,nan,best
41,ascension_uk.csv,-14.417,-7.9167,./20cr/ascension_uk.7z,./era20c/ascension_uk.7z,./eraint/ascension_uk.7z,./merra/ascension_uk.7z,./erafive/ascension_uk.7z,0.024207454,0.025195857999999998,0.024073228,0.024181384,0.025503906,ERA-Interim,nan,nan,best,nan,nan
42,"astoria,or_572a_usa.csv",-123.77,46.208,"./20cr/astoria,or_572a_usa.7z","./era20c/astoria,or_572a_usa.7z","./eraint/astoria,or_572a_usa.7z","./merra/astoria,or_572a_usa.7z","./erafive/astoria,or_572a_usa.7z",0.112883896,0.10656185900000001,0.102501674,0.101890496,0.10156941800000001,ERA-FIVE,nan,nan,nan,nan,best
43,atlantic_city_264a_usa.csv,-74.418,39.355,./20cr/atlantic_city_264a_usa.7z,./era20c/atlantic_city_264a_usa.7z,./eraint/atlantic_city_264a_usa.7z,./merra/atlantic_city_264a_usa.7z,./erafive/atlantic_city_264a_usa.7z,0.15754181,0.11887005099999999,0.148341273,0.134771075,0.133118712,ERA-20c,nan,best,nan,nan,nan
44,auckland_070a_new_zealand.csv,174.77,-36.85,./20cr/auckland_070a_new_zealand.7z,./era20c/auckland_070a_new_zealand.7z,./eraint/auckland_070a_new_zealand.7z,./merra/auckland_070a_new_zealand.7z,./erafive/auckland_070a_new_zealand.7z,0.077932736,0.088018753,0.078300934,0.08765058699999999,0.076589717,ERA-FIVE,nan,nan,nan,nan,best
45,avonmouth_p060_uk.csv,-2.715,51.511,./20cr/avonmouth_p060_uk.7z,./era20c/avonmouth_p060_uk.7z,./eraint/avonmouth_p060_uk.7z,./merra/avonmouth_p060_uk.7z,./erafive/avonmouth_p060_uk.7z,0.24455533699999998,0.233760085,0.21904736100000002,0.23564228399999998,0.222344925,ERA-Interim,nan,nan,best,nan,nan
46,awayuki_japan.csv,134.6,33.766999999999996,./20cr/awayuki_japan.7z,./era20c/awayuki_japan.7z,./eraint/awayuki_japan.7z,./merra/awayuki_japan.7z,./erafive/awayuki_japan.7z,0.08519957199999999,0.074919738,0.080747985,0.089049204,0.07174744599999999,ERA-FIVE,nan,nan,nan,nan,best
47,ayukawa_japan.csv,141.5,38.3,./20cr/ayukawa_japan.7z,./era20c/ayukawa_japan.7z,./eraint/ayukawa_japan.7z,./merra/ayukawa_japan.7z,./erafive/ayukawa_japan.7z,0.074764388,0.06209268,0.058047971,0.067943512,0.064401705,ERA-Interim,nan,nan,best,nan,nan
48,bahia_los_angeles_310a_mexico.csv,-113.55,28.958000000000002,./20cr/bahia_los_angeles_310a_mexico.7z,./era20c/bahia_los_angeles_310a_mexico.7z,./eraint/bahia_los_angeles_310a_mexico.7z,./merra/bahia_los_angeles_310a_mexico.7z,./erafive/bahia_los_angeles_310a_mexico.7z,0.060340942,0.058814965999999996,0.061746179000000005,0.057027892000000004,0.062044692,MERRA,nan,nan,nan,best,nan
49,bajor_414a_indonesia.csv,117.42,-0.6833,./20cr/bajor_414a_indonesia.7z,./era20c/bajor_414a_indonesia.7z,,,,,,,,,,nan,nan,nan,nan,nan
50,bakar_bakar_I_croatia.csv,14.533,45.3,./20cr/bakar_bakar_I_croatia.7z,./era20c/bakar_bakar_I_croatia.7z,./eraint/bakar_bakar_I_croatia.7z,./merra/bakar_bakar_I_croatia.7z,./erafive/bakar_bakar_I_croatia.7z,0.097180727,0.099005914,0.089396295,0.085694825,0.177102117,MERRA,nan,nan,nan,best,nan
51,balboa_302a_panama.csv,-79.57300000000002,8.9617,./20cr/balboa_302a_panama.7z,./era20c/balboa_302a_panama.7z,./eraint/balboa_302a_panama.7z,./merra/balboa_302a_panama.7z,./erafive/balboa_302a_panama.7z,0.080995156,0.075193188,0.076611145,0.077502508,0.077534946,ERA-20c,nan,best,nan,nan,nan
52,balikpapan_411a_indonesia.csv,116.8,-1.2667,./20cr/balikpapan_411a_indonesia.7z,./era20c/balikpapan_411a_indonesia.7z,,,,,,,,,,nan,nan,nan,nan,nan
53,baltimore_usa.csv,-76.578,39.266999999999996,./20cr/baltimore_usa.7z,./era20c/baltimore_usa.7z,./eraint/baltimore_usa.7z,./merra/baltimore_usa.7z,./erafive/baltimore_usa.7z,0.129510975,0.152826393,0.122449507,0.130286151,0.12708229199999999,ERA-Interim,nan,nan,best,nan,nan
54,baltra_b_003b_ecuador.csv,-90.285,-0.435,./20cr/baltra_b_003b_ecuador.7z,./era20c/baltra_b_003b_ecuador.7z,./eraint/baltra_b_003b_ecuador.7z,./merra/baltra_b_003b_ecuador.7z,./erafive/baltra_b_003b_ecuador.7z,0.049884672000000005,0.049939789000000005,0.048259209000000004,0.048612296,0.047732936,ERA-FIVE,nan,nan,nan,nan,best
55,"bamfield,bc_08545_canada.csv",-125.14,48.83600000000001,"./20cr/bamfield,bc_08545_canada.7z","./era20c/bamfield,bc_08545_canada.7z","./eraint/bamfield,bc_08545_canada.7z","./merra/bamfield,bc_08545_canada.7z","./erafive/bamfield,bc_08545_canada.7z",0.125717892,0.128145845,0.099797526,0.103466725,0.10142490400000001,ERA-Interim,nan,nan,best,nan,nan
56,bangor_p662_uk.csv,-5.6695,54.665,./20cr/bangor_p662_uk.7z,./era20c/bangor_p662_uk.7z,./eraint/bangor_p662_uk.7z,./merra/bangor_p662_uk.7z,./erafive/bangor_p662_uk.7z,0.206824025,0.165424588,0.157659011,0.160352039,0.133239121,ERA-FIVE,nan,nan,nan,nan,best
57,"barbers_point,hi_547a_usa.csv",-158.12,21.32,"./20cr/barbers_point,hi_547a_usa.7z","./era20c/barbers_point,hi_547a_usa.7z","./eraint/barbers_point,hi_547a_usa.7z","./merra/barbers_point,hi_547a_usa.7z","./erafive/barbers_point,hi_547a_usa.7z",0.031670348,0.029095897000000003,0.029301262,0.029345608,0.030426823999999998,ERA-20c,nan,best,nan,nan,nan
58,barcelona_barcelona_spain.csv,2.1630000000000003,41.342,./20cr/barcelona_barcelona_spain.7z,./era20c/barcelona_barcelona_spain.7z,./eraint/barcelona_barcelona_spain.7z,./merra/barcelona_barcelona_spain.7z,./erafive/barcelona_barcelona_spain.7z,0.062163135,0.065187176,0.064524147,0.064727283,0.06150311,ERA-FIVE,nan,nan,nan,nan,best
59,"barharbor,frenchmanbay,me_usa.csv",-68.205,44.391999999999996,"./20cr/barharbor,frenchmanbay,me_usa.7z","./era20c/barharbor,frenchmanbay,me_usa.7z","./eraint/barharbor,frenchmanbay,me_usa.7z","./merra/barharbor,frenchmanbay,me_usa.7z","./erafive/barharbor,frenchmanbay,me_usa.7z",0.104849333,0.103267667,0.109631423,0.137664822,0.09989986,ERA-FIVE,nan,nan,nan,nan,best
60,bari_bari_italy.csv,16.912,41.137,./20cr/bari_bari_italy.7z,./era20c/bari_bari_italy.7z,./eraint/bari_bari_italy.7z,./merra/bari_bari_italy.7z,./erafive/bari_bari_italy.7z,0.100192751,0.09556399800000001,0.09741456,0.097323219,0.09325681400000001,ERA-FIVE,nan,nan,nan,nan,best
61,barmouth_p923_uk.csv,-4.0452,52.718999999999994,./20cr/barmouth_p923_uk.7z,./era20c/barmouth_p923_uk.7z,./eraint/barmouth_p923_uk.7z,./merra/barmouth_p923_uk.7z,./erafive/barmouth_p923_uk.7z,0.195622304,0.227213852,0.171787687,0.179456363,0.17702648399999998,ERA-Interim,nan,nan,best,nan,nan
62,barseback_001_sweden.csv,12.902999999999999,55.756,./20cr/barseback_001_sweden.7z,./era20c/barseback_001_sweden.7z,./eraint/barseback_001_sweden.7z,./merra/barseback_001_sweden.7z,./erafive/barseback_001_sweden.7z,0.117707546,0.126342406,0.114690001,0.12692756800000002,0.122639308,ERA-Interim,nan,nan,best,nan,nan
63,base_prat_b_730b_chile.csv,-59.633,-62.483000000000004,./20cr/base_prat_b_730b_chile.7z,./era20c/base_prat_b_730b_chile.7z,./eraint/base_prat_b_730b_chile.7z,./merra/base_prat_b_730b_chile.7z,./erafive/base_prat_b_730b_chile.7z,0.114583904,0.16891388899999998,0.09436517900000001,0.09796916,0.100940524,ERA-Interim,nan,nan,best,nan,nan
64,bayonne_boucau_.csv,-1.5148,43.527,./20cr/bayonne_boucau_.7z,./era20c/bayonne_boucau_.7z,./eraint/bayonne_boucau_.7z,./merra/bayonne_boucau_.7z,./erafive/bayonne_boucau_.7z,0.094336325,0.086251731,0.082098989,0.088361676,0.0849835,ERA-Interim,nan,nan,best,nan,nan
65,beihai_636a_china.csv,109.08,21.483,./20cr/beihai_636a_china.7z,./era20c/beihai_636a_china.7z,./eraint/beihai_636a_china.7z,./merra/beihai_636a_china.7z,./erafive/beihai_636a_china.7z,0.127942665,0.132717076,0.111944974,0.102860442,0.130538144,MERRA,nan,nan,nan,best,nan
66,"belem,_uscgs_229a_brazil.csv",-48.5,-1.45,"./20cr/belem,_uscgs_229a_brazil.7z","./era20c/belem,_uscgs_229a_brazil.7z",,,,,,,,,,nan,nan,nan,nan,nan
67,belize_781a_british_honduras.csv,-88.18299999999998,17.5,./20cr/belize_781a_british_honduras.7z,./era20c/belize_781a_british_honduras.7z,,,,,,,,,,nan,nan,nan,nan,nan
68,"bellabella,bc_08976_canada.csv",-128.14,52.163000000000004,"./20cr/bellabella,bc_08976_canada.7z","./era20c/bellabella,bc_08976_canada.7z","./eraint/bellabella,bc_08976_canada.7z","./merra/bellabella,bc_08976_canada.7z","./erafive/bellabella,bc_08976_canada.7z",0.12386478199999999,0.136642278,0.108386126,0.1173443,0.116868365,ERA-Interim,nan,nan,best,nan,nan
69,benoa_b_163b_indonesia.csv,115.21,-8.745,./20cr/benoa_b_163b_indonesia.7z,./era20c/benoa_b_163b_indonesia.7z,./eraint/benoa_b_163b_indonesia.7z,./merra/benoa_b_163b_indonesia.7z,./erafive/benoa_b_163b_indonesia.7z,0.08569996099999999,0.086244228,0.08613589699999999,0.08603369300000001,0.08585060900000001,20CR,best,nan,nan,nan,nan
70,"bermuda,st.georgesisland_001.csv",-64.7,32.4,"./20cr/bermuda,st.georgesisland_001.7z","./era20c/bermuda,st.georgesisland_001.7z","./eraint/bermuda,st.georgesisland_001.7z","./merra/bermuda,st.georgesisland_001.7z","./erafive/bermuda,st.georgesisland_001.7z",0.084575916,0.074816648,0.077946534,0.09077701199999999,0.08787458199999999,ERA-20c,nan,best,nan,nan,nan
71,bilbao_bilbao_spain.csv,-3.05,43.357,./20cr/bilbao_bilbao_spain.7z,./era20c/bilbao_bilbao_spain.7z,./eraint/bilbao_bilbao_spain.7z,./merra/bilbao_bilbao_spain.7z,./erafive/bilbao_bilbao_spain.7z,0.07335099,0.074445023,0.060261034000000005,0.065814883,0.06692577400000001,ERA-Interim,nan,nan,best,nan,nan
72,bintulu_387a_malaysia.csv,113.07,3.2167,./20cr/bintulu_387a_malaysia.7z,./era20c/bintulu_387a_malaysia.7z,./eraint/bintulu_387a_malaysia.7z,./merra/bintulu_387a_malaysia.7z,./erafive/bintulu_387a_malaysia.7z,0.055140438,0.05334957,0.052914441,0.053178255,0.050519997999999997,ERA-FIVE,nan,nan,nan,nan,best
73,bitung_033a_indonesia.csv,125.19,1.44,./20cr/bitung_033a_indonesia.7z,./era20c/bitung_033a_indonesia.7z,./eraint/bitung_033a_indonesia.7z,./merra/bitung_033a_indonesia.7z,./erafive/bitung_033a_indonesia.7z,0.036894344,0.037076162999999995,0.038300432999999995,0.037703355,0.03776348,20CR,best,nan,nan,nan,nan
74,bjorn_028_sweden.csv,17.967,60.633,./20cr/bjorn_028_sweden.7z,./era20c/bjorn_028_sweden.7z,,,,,,,,,,nan,nan,nan,nan,nan
75,bluff_072a_new_zealand.csv,168.35,-46.6,./20cr/bluff_072a_new_zealand.7z,./era20c/bluff_072a_new_zealand.7z,./eraint/bluff_072a_new_zealand.7z,./merra/bluff_072a_new_zealand.7z,./erafive/bluff_072a_new_zealand.7z,0.11790108699999999,0.10294012699999999,0.089872898,0.09605196699999999,0.083446353,ERA-FIVE,nan,nan,nan,nan,best
76,bonanza_bonanza_spain.csv,-6.34,36.8,./20cr/bonanza_bonanza_spain.7z,./era20c/bonanza_bonanza_spain.7z,./eraint/bonanza_bonanza_spain.7z,./merra/bonanza_bonanza_spain.7z,./erafive/bonanza_bonanza_spain.7z,0.070648072,0.118605585,0.068847754,0.071931635,0.07779073,ERA-Interim,nan,nan,best,nan,nan
77,booby_island_336a_australia.csv,141.92,-10.6,./20cr/booby_island_336a_australia.7z,./era20c/booby_island_336a_australia.7z,./eraint/booby_island_336a_australia.7z,./merra/booby_island_336a_australia.7z,./erafive/booby_island_336a_australia.7z,0.11266224,0.11215174,0.105709742,0.10753195300000001,0.10638037800000001,ERA-Interim,nan,nan,best,nan,nan
78,"boston,ma_741a_usa.csv",-71.05199999999998,42.355,"./20cr/boston,ma_741a_usa.7z","./era20c/boston,ma_741a_usa.7z","./eraint/boston,ma_741a_usa.7z","./merra/boston,ma_741a_usa.7z","./erafive/boston,ma_741a_usa.7z",0.12009294400000001,0.112262882,0.103583939,0.130735349,0.10295141,ERA-FIVE,nan,nan,nan,nan,best
