,tg,lon_x,lat_x,e99_1930,e99_1930_sigf,e99_1950,e99_1950_sigf,t99_1930,t99_1930_sigf,t99_1950,t99_1950_sigf
87,l._cornwallis_i._705a_canada,-96.95,75.383,,,0.803649163,TRUE,,,0.517286398,TRUE
88,las_palmas_laspalmas_spain,-15.412,28.141,,,0.372220432,TRUE,,,,
89,lusi_a_633a_china,121.62,32.133,,,1.39166896,TRUE,,,,
90,lyttelton_667a_new_zealand,172.72,-43.6,,,0.843780655,TRUE,,,0.69766453,TRUE
91,malin_head_834a_ireland,-7.3333,55.367,,,0.957610597,TRUE,,,,
92,mawson_177a_australia,62.883,-67.6,,,0.769822721,TRUE,,,,
93,napoli_napoli_italy,14.269,40.841,,,-0.427618061,TRUE,,,,
94,"neah_bay,wa_558a_usa",-124.62,48.368,,,0.58378382,TRUE,,,,
95,"nome,ak_595a_usa",-165.43,64.5,,,2.514762855,TRUE,,,,
96,palma_de_mallorca_palmademallorca_spain,2.6375,39.56,,,-0.464177613,TRUE,,,,
97,panama_city_beach_761a_usa,-85.88,30.213,,,0.624331474,TRUE,,,,
98,"pensacola,fl_762a_usa",-87.213,30.403,,,0.940884221,TRUE,,,-0.518901927,TRUE
99,port_tudy_,-3.4459,47.644,,,-0.549308766,TRUE,,,,
100,"sabine_pass_n,tx_766a_usa",-93.87,29.73,,,1.052750635,TRUE,,,,
101,seattle_usa,-122.34,47.603,,,-0.548394623,TRUE,,,,
102,seldovia_usa,-151.72,59.44,,,0.845216334,TRUE,,,0.900333979,TRUE
103,"sitka,ak_559a_usa",-135.34,57.052,,,0.828441445,TRUE,,,,
104,skagway_usa,-135.33,59.45,,,0.553283939,TRUE,,,,
105,st.petersburg_usa,-82.627,27.761,,,1.213479939,TRUE,,,,
106,"st._petersburg,_fl_759a_usa",-82.627,27.76,,,1.318829566,TRUE,,,,
107,stmarys_p231_uk,-6.3164,49.918,,,-0.401730868,TRUE,,,,
