tg,lon,lat,era20c_vi,era20c_recLen,era20c_recSign,obsRecordLength_x,era20c_yrsGained,era20c_yrsGainedSign,twcr_vi,twcr_recLen,twcr_recSign,twcr_yrsGained,twcr_yrsGainedSign
cascais_209a_portugal,-9.4167,38.692,1900,110,100-125,41,69,60-90,1875,140,125-150,99,90-120
casey_130a_australia,110.53,-66.283,1900,110,100-125,9,101,90-120,discard ,,,,
castletownsend_835a_ireland,-9.1833,51.533,1921,89,75-100,4,85,60-90,1875,140,125-150,136,120-160
cedarkeyii_usa,-83.032,29.135,1941,69,50-75,18,51,30-60,1869,146,125-150,128,120-160
ceuta_ceta_spain,-5.3167,35.9,1900,110,100-125,65,45,30-60,1875,140,125-150,75,60-90
"charleston,or_575a_usa",-124.32,43.345,1940,70,50-75,34,36,30-60,1950,65,50-75,31,30-60
"charleston,sc_261a_usa",-79.925,32.782,1964,46,0-50,90,-44,(-60)-(-30),1875,140,125-150,50,30-60
chatham_079a_new_zealand,-176.56,-43.947,discard,,,6,,,1948,67,50-75,61,60-90
chesapeake_bbt_749a_usa,-76.113,36.967,1942,68,50-75,38,30,0-30,1872,143,125-150,105,90-120
choshigyoko_japan,140.87,35.75,1944,66,50-75,38,28,0-30,1944,71,50-75,33,30-60
civitavecchia_civitavecchia_italy,11.79,42.094,1900,110,100-125,10,100,90-120,1900,115,100-125,105,90-120
"clearwater_bch,fl_773a_usa",-82.832,27.977,1941,69,50-75,17,52,30-60,1869,146,125-150,129,120-160
concarneau_,-3.9072,47.874,1921,89,75-100,14,75,60-90,1875,140,125-150,126,120-160
"cordova_b,alaska_583b_usa",-145.75,60.558,1942,68,50-75,42,26,0-30,1942,73,50-75,31,30-60
corinto_679a_nicaragua,-87.117,12.283,1994,16,0-50,1,15,0-30,,,,,
"corpus_cristi,tx_770a_usa",-97.217,27.58,1939,71,50-75,25,46,30-60,,,,,
coruna_coru_spain,-8.4,43.367,1955,55,50-75,66,-11,(-15)-(0),1875,140,125-150,74,60-90
"crescent_city,ca_556a_usa",-124.18,41.745,1939,71,50-75,69,2,0-30,1935,80,75-100,11,0-30
cuxhaven_germany,8.7167,53.867,1900,110,100-125,98,12,0-30,1875,140,125-150,42,30-60
dalian_a_630a_china,121.66,38.925,1942,68,50-75,16,52,30-60,,,,,
"dauphin_island,_al_763a_usa",-88.075,30.25,1935,75,50-75,12,63,60-90,1854,161,150-180,149,120-160
"davis,australia_001",78.5,-68,1945,65,50-75,6,59,30-60,,,,,
davis_173a_australia,77.967,-68.45,1900,110,100-125,15,95,90-120,discard ,,,,
delfzijl_del_nl,6.9331,53.326,1900,110,100-125,45,65,60-90,1866,149,125-150,104,90-120
denhelder_hel_nl,4.7464,52.965,1921,89,75-100,45,44,30-60,1865,150,125-150,105,90-120
devonport_p002_uk,-4.1852,50.368,1921,89,75-100,22,67,60-90,1875,140,125-150,118,90-120
dieppe_,1.0845,49.929,1921,89,75-100,38,51,30-60,1865,150,125-150,112,90-120
donges_,-2.0883,47.306,1900,110,100-125,24,86,60-90,1875,140,125-150,116,90-120
dover_p012_uk,1.3181,51.117,1921,89,75-100,51,38,30-60,1875,140,125-150,89,60-90
"duck_pier,nc_260a_usa",-75.74,36.183,1942,68,50-75,34,34,30-60,1875,140,125-150,106,90-120
dumont_d_urville_189a_france,140.01,-66.662,1900,110,100-125,2,108,90-120,,,,,
dunkerque_,2.3667,51.048,1921,89,75-100,41,48,30-60,1875,140,125-150,99,90-120
"dutch_harbor_b,ak_041b_usa",-166.54,53.88,1941,69,50-75,35,34,30-60,1944,71,50-75,36,30-60
esbjerg_130121_denmark,8.4333,55.467,1900,110,100-125,62,48,30-60,1866,149,125-150,87,60-90
esperance_010_australia,121.89,-33.861,1994,16,0-50,39,-23,(-30)-(-15),1953,62,50-75,23,0-30
"esperence,australia_001",121.9,-33.867,discard,,,11,,,1952,63,50-75,52,30-60
felixstowe_p204_uk,1.3484,51.957,1921,89,75-100,21,68,60-90,1875,140,125-150,119,90-120
fernandina_beach_240a_usa,-81.467,30.672,1941,69,50-75,51,18,0-30,1851,164,150-180,113,90-120
ferrol_ferrol_spain,-8.326,43.463,1921,89,75-100,8,81,60-90,1875,140,125-150,132,120-160
fishguard_p055_uk,-4.9833,52.014,1921,89,75-100,45,44,30-60,1875,140,125-150,95,90-120
"flores,santa_cruz_210a_portugal",-31.168,39.378,1944,66,50-75,22,44,30-60,1860,155,150-180,133,120-160
fortmyers_usa,-81.871,26.648,1939,71,50-75,17,54,30-60,1869,146,125-150,129,120-160
fortpulaski_usa,-80.902,32.033,1946,64,50-75,61,3,0-30,1872,143,125-150,82,60-90
"fort_pulaski,ga_752a_usa",-80.902,32.033,1946,64,50-75,72,-8,(-15)-(0),1875,140,125-150,68,60-90
freeport_usa,-95.308,28.948,1940,70,50-75,52,18,0-30,1876,139,125-150,87,60-90
fremantle_012_australia,115.75,-32.053,1953,57,50-75,96,-39,(-60)-(-30),1953,62,50-75,-34,(-60)-(-30)
fridayharbor_ocean.labs.__usa,-123.01,48.547,1944,66,50-75,20,46,30-60,1945,70,50-75,50,30-60
fuerteventura_fuerteventura_spain,-13.85,28.5,1941,69,50-75,11,58,30-60,1875,140,125-150,129,120-160
fukaura_japan,139.93,40.65,1944,66,50-75,41,25,0-30,1945,70,50-75,29,0-30
funchal_b_218b_portugal,-16.907,32.64,1900,110,100-125,25,85,60-90,1877,138,125-150,113,90-120
"galveston,pier_21_775a_usa",-94.79,29.287,1939,71,50-75,102,-31,(-60)-(-30),1875,140,125-150,38,30-60
geelong_013_australia,144.36,-38.147,1950,60,50-75,29,31,30-60,1947,68,50-75,39,30-60
geraldton_014_australia,114.61,-28.773,1960,50,0-50,39,11,0-30,discard ,,,,
gijon_gijon_spain,-5.698,43.558,1900,110,100-125,18,92,90-120,1875,140,125-150,122,120-160
gisborne_b_078b_new_zealand,178.03,-38.683,1937,73,50-75,7,66,60-90,1948,67,50-75,60,30-60
gladstone_p234_uk,-3.018,53.45,1900,110,100-125,18,92,90-120,1875,140,125-150,122,120-160
gloucesterpoint_usa,-76.5,37.247,1941,69,50-75,8,61,60-90,1872,143,125-150,135,120-160
goteborgtorshamnen_005_sweden,11.8,57.683,1900,110,100-125,48,62,60-90,1866,149,125-150,101,90-120
grandisle_usa,-89.957,29.263,1939,71,50-75,34,37,30-60,1875,140,125-150,106,90-120
hachinohe_japan,141.53,40.533,1944,66,50-75,50,16,0-30,1944,71,50-75,21,0-30
hakodate_japan,140.73,41.783,1944,66,50-75,51,15,0-30,1954,61,50-75,10,0-30
hamada_japan,132.07,34.9,1944,66,50-75,30,36,30-60,,,,,
hanasaki_japan,145.57,43.283,1944,66,50-75,53,13,0-30,1945,70,50-75,17,0-30
harwich_p022_uk,1.2845,51.947,1973,37,0-50,21,16,0-30,,,,,
heimsjoe_001_norway,9.1014,63.425,1900,110,100-125,45,65,60-90,1878,137,125-150,92,90-120
heysham_p050_uk,-2.9204,54.032,1921,89,75-100,35,54,30-60,1875,140,125-150,105,90-120
hillarys_132a_australia,115.74,-31.825,1962,48,0-50,22,26,0-30,discard ,,,,
hoekvanholla_hvh_nl,4.12,51.977,1921,89,75-100,45,44,30-60,1875,140,125-150,95,90-120
holyhead_p054_uk,-4.6312,53.308,1961,49,0-50,34,15,0-30,1875,140,125-150,106,90-120
hong_kong_b_329b_china,114.2,22.3,1942,68,50-75,51,17,0-30,1880,135,125-150,84,60-90
honningsvaag_002_norway,25.973,70.98,1900,110,100-125,41,69,60-90,1920,95,75-100,54,30-60
hornbaek_838a_denmark,12.467,56.1,1900,110,100-125,115,-5,(-15)-(0),1880,135,125-150,20,0-30
"horta,azores_212a_portugal",-28.622,38.533,1900,110,100-125,2,108,90-120,1877,138,125-150,136,120-160
huelva_huelva_spain,-6.834,37.132,1900,110,100-125,18,92,90-120,1878,137,125-150,119,90-120
"humboldt_bay,_ca_576a_usa",-124.22,40.767,1939,71,50-75,20,51,30-60,1935,80,75-100,60,30-60
ibiza_ibiza_spain,1.4497,38.911,1900,110,100-125,12,98,90-120,1875,140,125-150,128,120-160
ilfracombe_p061_uk,-4.1109,51.211,1921,89,75-100,26,63,60-90,1875,140,125-150,114,90-120
"ilulissat,greenland_001",-51.1,69.217,1939,71,50-75,3,68,60-90,1931,84,75-100,81,60-90
imbituba_718a_brazil,-48.4,-28.133,discard,,,5,,,1957,58,50-75,53,30-60
imperia_imperia_italy,8.0188,43.878,1900,110,100-125,13,97,90-120,1877,138,125-150,125,120-160
jackson_403a_new_zealand,168.62,-43.983,1900,110,100-125,14,96,90-120,1948,67,50-75,53,30-60
juneau_usa,-134.41,58.298,1947,63,50-75,35,28,0-30,1942,73,50-75,38,30-60
kanmen_a_632a_china,121.28,28.088,1943,67,50-75,24,43,30-60,1951,64,50-75,40,30-60
"ketchikan,ak_571a_usa",-131.63,55.333,1944,66,50-75,71,-5,(-15)-(0),1947,68,50-75,-3,(-15)-(0)
kingedwardpoint_uk,-36.497,-54.283,discard,,,5,,,1978,37,0-50,32,30-60
kinlochbervi_p918_uk,-5.0504,58.457,1900,110,100-125,20,90,60-90,1870,145,125-150,125,120-160
kiptopekebeach_usa,-75.988,37.165,1942,68,50-75,19,49,30-60,1872,143,125-150,124,120-160
knysna_186a_south_africa,23.033,-32.033,1967,43,0-50,27,16,0-30,discard ,,,,
"kodiak_isl.,alaska_039a_usa",-152.51,57.732,1943,67,50-75,33,34,30-60,1942,73,50-75,40,30-60
kungsvik_009_sweden,11.127,58.997,1900,110,100-125,42,68,60-90,1880,135,125-150,93,90-120
kushiro_japan,144.38,42.967,1940,70,50-75,52,18,0-30,1906,109,100-125,57,30-60
l._cornwallis_i._705a_canada,-96.95,75.383,1946,64,50-75,7,57,30-60,1947,68,50-75,61,60-90
laohutan_a_631a_china,121.68,38.867,1954,56,50-75,8,48,30-60,1950,65,50-75,57,30-60
las_palmas_laspalmas_spain,-15.412,28.141,1941,69,50-75,22,47,30-60,1875,140,125-150,118,90-120
la_coruna_830a_spain,-8.4,43.367,1900,110,100-125,68,42,30-60,1875,140,125-150,72,60-90
la_rochelle_la_palli_,-1.2206,46.158,1916,94,75-100,26,68,60-90,1875,140,125-150,114,90-120
leith_p034_uk,-3.1817,55.99,1921,89,75-100,23,66,60-90,1868,147,125-150,124,120-160
lerwick_p041_uk,-1.1333,60.15,1900,110,100-125,48,62,60-90,1869,146,125-150,98,90-120
les_sables_d_olonne_,-1.7935,46.497,1921,89,75-100,23,66,60-90,1875,140,125-150,117,90-120
"lewes,de_747a_usa",-75.12,38.782,1940,70,50-75,54,16,0-30,1872,143,125-150,89,60-90
le_conquet_,-4.7807,48.359,1921,89,75-100,40,49,30-60,1875,140,125-150,100,90-120
le_crouesty_,-2.8952,47.543,1900,110,100-125,8,102,90-120,1875,140,125-150,132,120-160
le_havre_,0.106,49.482,1916,94,75-100,42,52,30-60,1875,140,125-150,98,90-120
lowestoft_p024_uk,1.7508,52.473,1921,89,75-100,51,38,30-60,1867,148,125-150,97,90-120
lusi_a_633a_china,121.62,32.133,1942,68,50-75,20,48,30-60,1955,60,50-75,40,30-60
lyttelton_667a_new_zealand,172.72,-43.6,1948,62,50-75,18,44,30-60,1948,67,50-75,49,30-60
maaloey_003_norway,5.1133,61.934,1900,110,100-125,43,67,60-90,1880,135,125-150,92,90-120
mahon_mahon_spain,4.2706,39.893,1900,110,100-125,5,105,90-120,1899,116,100-125,111,90-120
maizuru_japan,135.38,35.467,1945,65,50-75,46,19,0-30,1945,70,50-75,24,0-30
malin_head_834a_ireland,-7.3333,55.367,1948,62,50-75,41,21,0-30,,,,,
"maniitsoq,greenland_001",-52.905,65.413,1941,69,50-75,1,68,60-90,,,,,
marsden_point_398a_new_zealand,174.5,-35.833,1948,62,50-75,28,34,30-60,1948,67,50-75,39,30-60
marseille_france,5.35,43.3,1900,110,100-125,16,94,90-120,1900,115,100-125,99,90-120
mar_del_plata_b_729b_argentina,-57.55,-38.05,1975,35,0-50,6,29,0-30,1956,59,50-75,53,30-60
"massacre_bay,ak_550a_usa",173.2,52.833,1946,64,50-75,19,45,30-60,1946,69,50-75,50,30-60
mawson_177a_australia,62.883,-67.6,1945,65,50-75,17,48,30-60,discard ,,,,
"mayport,fl_753a_usa",-81.432,30.395,1946,64,50-75,72,-8,(-15)-(0),1875,140,125-150,68,60-90
milfordhaven_p056_uk,-5.0143,51.702,1921,89,75-100,30,59,30-60,1875,140,125-150,110,90-120
millport_p049_uk,-4.9058,55.75,1921,89,75-100,32,57,30-60,1868,147,125-150,115,90-120
miyako_japan,141.98,39.65,1944,66,50-75,50,16,0-30,1945,70,50-75,20,0-30
monaco_port_hercule_france,7.4215,43.729,1900,110,100-125,22,88,60-90,1878,137,125-150,115,90-120
"montauk,ny_279a_usa",-71.96,41.048,1949,61,50-75,45,16,0-30,1872,143,125-150,98,90-120
"monterey,ca_555a_usa",-121.89,36.605,1977,33,0-50,39,-6,(-15)-(0),1939,76,75-100,37,30-60
morayfirth_p207_uk,-4.0022,57.599,1900,110,100-125,5,105,90-120,1870,145,125-150,140,120-160
mossel_bay_185a_south_africa,22.133,-34.183,1978,32,0-50,31,1,0-30,1978,37,0-50,6,0-30
mumbles_p932_uk,-3.9754,51.57,1921,89,75-100,15,74,60-90,1875,140,125-150,125,120-160
nantucketisland_usa,-70.097,41.285,1943,67,50-75,48,19,0-30,1872,143,125-150,95,90-120
napier_668a_new_zealand,176.92,-39.483,1948,62,50-75,20,42,30-60,1948,67,50-75,47,30-60
napoli_napoli_italy,14.269,40.841,1900,110,100-125,20,90,60-90,1877,138,125-150,118,90-120
"neah_bay,wa_558a_usa",-124.62,48.368,1944,66,50-75,75,-9,(-15)-(0),1950,65,50-75,-10,(-15)-(0)
nelson_077a_new_zealand,173.27,-41.267,1948,62,50-75,15,47,30-60,1948,67,50-75,52,30-60
newhaven_p011_uk,0.05703,50.782,1921,89,75-100,26,63,60-90,1865,150,125-150,124,120-160
newlondon_usa,-72.09,41.361,1937,73,50-75,61,12,0-30,1872,143,125-150,82,60-90
newlyn_p001_uk,-5.5417,50.102,1921,89,75-100,74,15,0-30,1875,140,125-150,66,60-90
"newport,ri_253a_usa",-71.327,41.505,1938,72,50-75,77,-5,(-15)-(0),1872,143,125-150,66,60-90
newport_usa,-71.327,41.505,1938,72,50-75,61,11,0-30,1872,143,125-150,82,60-90
newyork_thebattery__usa,-74.014,40.701,1940,70,50-75,60,10,0-30,1872,143,125-150,83,60-90
"new_london,ct_744a_usa",-72.087,41.355,1938,72,50-75,69,3,0-30,1872,143,125-150,74,60-90
"new_york,ny_745a_usa",-74.015,40.7,1940,70,50-75,71,-1,(-15)-(0),1872,143,125-150,72,60-90
nice_france,7.2853,43.696,1900,110,100-125,15,95,90-120,1877,138,125-150,123,120-160
"nome,ak_595a_usa",-165.43,64.5,1943,67,50-75,15,52,30-60,1935,80,75-100,65,60-90
northshields_p032_uk,-1.4398,55.007,1900,110,100-125,39,71,60-90,1868,147,125-150,108,90-120
noto_japan,137.15,37.5,1944,66,50-75,16,50,30-60,1945,70,50-75,54,30-60
"ny_alesund,norway_001",11.95,78.933,1989,21,0-50,23,-2,(-15)-(0),discard ,,,,
ofunato_japan,141.72,39.067,1944,66,50-75,47,19,0-30,1945,70,50-75,23,0-30
onahama_japan,140.9,36.933,1944,66,50-75,52,14,0-30,1945,70,50-75,18,0-30
ortona_ortona_italy,14.415,42.356,1900,110,100-125,13,97,90-120,1875,140,125-150,127,120-160
oslo_004_norway,10.734,59.909,1900,110,100-125,42,68,60-90,1880,135,125-150,93,90-120
otaru_japan,141,43.2,1940,70,50-75,17,53,30-60,1907,108,100-125,91,90-120
palermo_palermo_italy,13.371,38.121,1955,55,50-75,12,43,30-60,1875,140,125-150,128,120-160
palma_de_mallorca_palmademallorca_spain,2.6375,39.56,1900,110,100-125,5,105,90-120,1877,138,125-150,133,120-160
panama_city_beach_761a_usa,-85.88,30.213,1947,63,50-75,15,48,30-60,1869,146,125-150,131,120-160
"pensacola,fl_762a_usa",-87.213,30.403,1939,71,50-75,85,-14,(-15)-(0),1869,146,125-150,61,60-90
ponta_delgada_211a_portugal,-25.672,37.735,1944,66,50-75,19,47,30-60,1877,138,125-150,119,90-120
portadelaideouter_020_australia,138.6,-34.926,1950,60,50-75,69,-9,(-15)-(0),1947,68,50-75,-1,(-15)-(0)
portellen_p202_uk,-6.1901,55.627,1921,89,75-100,19,70,60-90,1875,140,125-150,121,120-160
porterin_p919_uk,-4.7681,54.085,1921,89,75-100,19,70,60-90,1836,179,150-180,160,120-160
"portland,s.aus._129a_australia",141.6,-38.333,1900,110,100-125,22,88,60-90,1947,68,50-75,46,30-60
portland_maine__usa,-70.247,43.657,1940,70,50-75,61,9,0-30,1875,140,125-150,79,60-90
portlincoln_023_australia,135.86,-34.72,1900,110,100-125,39,71,60-90,1947,68,50-75,29,0-30
portlonsdale_017_australia,138.5,-35.099,1900,110,100-125,42,68,60-90,1950,65,50-75,23,0-30
porto_torres_porto+torres_italy,8.4039,40.842,1900,110,100-125,14,96,90-120,1877,138,125-150,124,120-160
portpatrick_p063_uk,-5.12,54.843,1921,89,75-100,40,49,30-60,1875,140,125-150,100,90-120
portpirie_024_australia,138.01,-33.177,1900,110,100-125,63,47,30-60,1947,68,50-75,5,0-30
portrush_p935_uk,-6.6568,55.207,1921,89,75-100,18,71,60-90,1875,140,125-150,122,120-160
portsmouth_p008_uk,-1.1118,50.803,1921,89,75-100,22,67,60-90,1867,148,125-150,126,120-160
"port_angeles,_wa_584a_usa",-123.44,48.125,1944,66,50-75,23,43,30-60,1947,68,50-75,45,30-60
port_bloc_,-1.0616,45.569,1900,110,100-125,19,91,90-120,1875,140,125-150,121,120-160
port_camargue_france,4.1264,43.52,1900,110,100-125,2,108,90-120,1853,162,150-180,160,120-160
port_chalmers_669a_new_zealand,170.65,-45.817,1962,48,0-50,14,34,30-60,1974,41,0-50,27,0-30
port_elizabeth_184a_south_africa,25.63,-33.96,1983,27,0-50,24,3,0-30,1967,48,0-50,24,0-30
port_kembla_342a_australia,150.91,-34.473,1950,60,50-75,21,39,30-60,1947,68,50-75,47,30-60
"port_orford,_or_557a_usa",-124.5,42.74,1947,63,50-75,14,49,30-60,1948,67,50-75,53,30-60
port_stanley_a_290a_united_kingdom,-57.867,-52.7,discard,,,4,,,1975,40,0-50,36,30-60
port_stanley_b_290b_united_kingdom,-57.933,-51.75,discard,,,14,,,1975,40,0-50,26,0-30
port_stanvac_100a_australia,138.47,-35.108,1900,110,100-125,18,92,90-120,1947,68,50-75,50,30-60
port_tudy_,-3.4459,47.644,1900,110,100-125,38,72,60-90,1875,140,125-150,102,90-120
port_vendres_france,3.1075,42.52,1900,110,100-125,21,89,60-90,1853,162,150-180,141,120-160
"prudhoe_bay,_ak_579a_usa",-148.53,70.4,1940,70,50-75,19,51,30-60,1936,79,75-100,60,30-60
"qaqortoq,greenland_001",-46.033,60.717,1938,72,50-75,6,66,60-90,,,,,
ravenna_ravenna_italy,12.283,44.492,1900,110,100-125,15,95,90-120,1875,140,125-150,125,120-160
reedypoint_usa,-75.573,39.558,1930,80,75-100,33,47,30-60,1872,143,125-150,110,90-120
ringhals_016_sweden,12.113,57.25,1900,110,100-125,45,65,60-90,1880,135,125-150,90,60-90
roervik_005_norway,11.23,64.859,1900,110,100-125,44,66,60-90,1927,88,75-100,44,30-60
roscoff_,-3.9657,48.718,1900,110,100-125,36,74,60-90,1875,140,125-150,104,90-120
rothera_uk,-68.133,-67.567,1975,35,0-50,11,24,0-30,discard ,,,,
"sabine_pass_n,tx_766a_usa",-93.87,29.73,1938,72,50-75,21,51,30-60,1875,140,125-150,119,90-120
sagunto_sagunto_spain,-0.206,39.634,1900,110,100-125,7,103,90-120,1853,162,150-180,155,120-160
saint_gildas_,-2.2464,47.14,1900,110,100-125,39,71,60-90,1875,140,125-150,101,90-120
saint_jean_de_luz_so_,-1.6816,43.395,1900,110,100-125,39,71,60-90,1875,140,125-150,101,90-120
saint_malo_,-2.0281,48.641,1900,110,100-125,19,91,90-120,1867,148,125-150,129,120-160
saint_nazaire_,-2.2016,47.267,1900,110,100-125,29,81,60-90,1875,140,125-150,111,90-120
saint_paul_179a_france,77.538,-38.712,1978,32,0-50,11,21,0-30,,,,,
sakai_japan,133.25,35.55,1944,66,50-75,52,14,0-30,1945,70,50-75,18,0-30
saldahna_bay_703a_south_africa,17.95,-33.017,discard,,,22,,,,,,,
sandyhook_usa,-74.009,40.467,1940,70,50-75,63,7,0-30,1872,143,125-150,80,60-90
"sand_point,ak_574a_usa",-160.5,55.337,1954,56,50-75,38,18,0-30,1942,73,50-75,35,30-60
sanfrancisco_usa,-122.47,37.807,1977,33,0-50,65,-32,(-60)-(-30),1935,80,75-100,15,0-30
santander_ieo_spain,-3.79,43.461,1900,110,100-125,65,45,30-60,1875,140,125-150,75,60-90
seattle_usa,-122.34,47.603,1944,66,50-75,65,1,0-30,1948,67,50-75,2,0-30
seldovia_usa,-151.72,59.44,1943,67,50-75,34,33,30-60,1942,73,50-75,39,30-60
sete_france,3.6991,43.398,1900,110,100-125,16,94,90-120,1853,162,150-180,146,120-160
"seward_c,ak_560c_usa",-149.43,60.12,1943,67,50-75,40,27,0-30,1942,73,50-75,33,30-60
"sewellspoint,hamptonroads_usa",-76.33,36.947,1941,69,50-75,65,4,0-30,1875,140,125-150,75,60-90
shanwei_641a_china,115.35,22.75,1943,67,50-75,23,44,30-60,1881,134,125-150,111,90-120
shimokita_japan,141.23,41.367,1944,66,50-75,17,49,30-60,1945,70,50-75,53,30-60
simon_s_town_221a_south_africa,18.433,-34.183,1978,32,0-50,36,-4,(-15)-(0),discard ,,,,
"sisimiut,greenland_001",-53.667,66.933,1961,49,0-50,7,42,30-60,,,,,
"sitka,ak_559a_usa",-135.34,57.052,1944,66,50-75,73,-7,(-15)-(0),1947,68,50-75,-5,(-15)-(0)
skagway_usa,-135.33,59.45,1947,63,50-75,32,31,30-60,1942,73,50-75,41,30-60
smogen_020_sweden,11.218,58.354,1900,110,100-125,56,54,30-60,1880,135,125-150,79,60-90
solomonsisland_biol.lab.__usa,-76.452,38.317,1900,110,100-125,30,80,60-90,1872,143,125-150,113,90-120
"south_beach,or_592a_usa",-124.04,44.625,1994,16,0-50,46,-30,(-60)-(-30),1947,68,50-75,22,0-30
springmaidpier_usa,-78.918,33.655,1946,64,50-75,34,30,0-30,1850,165,150-180,131,120-160
