the_geom,cartodb_id,location_zipcode,precinct,neighborhood_services_district,city_council_district,fire_district,source,location_street_name,land_usage,ward,neighborhood,police_district,pwd_district,location,department,queue,type,reason,subject,case_title,closure_reason,case_status,closed_dt,open_dt,longitude,latitude,case_enquiry_id
0101000020E6100000DA740470B3C951C0996725ADF82C4540,72,2135,2203,15,9,11,Constituent Call,34 Sparhawk St,E,Ward 22,Allston / Brighton,D14,04,34 Sparhawk St  Brighton  MA  02135,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,05/22/2012 07:39:01 AM,-71.151577,42.351339,101000425642
0101000020E6100000BCE82B4833C451C0F19D98F562284540,73,2125,1305,13,7,7,Constituent Call,9 Wilbur St,R2,Ward 13,Dorchester,C11,03,9 Wilbur St  Dorchester  MA  02125,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,05/15/2012 08:59:46 AM,-71.06563,42.31552,101000422066
0101000020E6100000F3C81F0C3CC551C0A9876874072D4540,74,2116,508,14,8,4,Constituent Call,240 Marlborough St,CM,Ward 5,Back Bay,D4,1C,240 Marlborough St  Boston  MA  02116,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,05/09/2012 09:44:57 AM,-71.08179,42.35179,101000419156
0101000020E6100000F3583332C8C751C096D1C8E7152D4540,75,2215,2103,14,9,11,Constituent Call,1027 Commonwealth Ave,RC,Ward 21,Allston / Brighton,D14,04,1027 Commonwealth Ave  Boston  MA  02215,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,05/03/2012 01:44:34 PM,-71.121594,42.352231,101000416699
0101000020E6100000A3586E6935C451C088687407B1274540,76,2125,1504,8,3,7,Constituent Call,37 Hendry St,R3,Ward 15,Dorchester,C11,03,37 Hendry St  Dorchester  MA  02125,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,03/23/2012 07:05:50 AM,-71.06576,42.31009,101000399100
0101000020E6100000A8C64B3789C951C04FAA7D3A1E2B4540,77,2135,2114,15,9,11,Constituent Call,5 Ayr Rd,R2,Ward 21,Allston / Brighton,D14,04,5 Ayr Rd  Brighton  MA  02135,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,03/05/2012 08:21:47 AM,-71.149,42.33686,101000390720
0101000020E61000009E8EC70C54C051C00BB5A679C7314540,78,2128,113,1,1,1,Constituent Call,172 Leyden St,R1,Ward 1,East Boston,A7,09,172 Leyden St  East Boston  MA  02128,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,02/21/2012 10:23:13 AM,-71.00513,42.3889,101000386317
0101000020E61000009BAC510FD1C451C05A643BDF4F294540,79,2119,807,13,7,7,Self Service,25 Dennis St,R1,Ward 8,Roxbury,B2,03,25 Dennis St  Roxbury  MA  02119,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,02/14/2012 10:40:14 AM,-71.07526,42.32275,101000384181
0101000020E61000005AF5B9DA8AC951C04F401361C32B4540,80,2135,2113,15,9,11,Self Service,1733 Commonwealth Ave,R2,Ward 21,Allston / Brighton,D14,04,1733 Commonwealth Ave  Brighton  MA  02135,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,02/10/2012 12:46:07 PM,-71.1491,42.3419,101000383309
0101000020E6100000F0C4AC1743C551C0FE7DC685032D4540,81,2116,508,14,8,4,Constituent Call,252 Marlborough St,CM,Ward 5,Back Bay,D4,1C,252 Marlborough St  Boston  MA  02116,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,02/01/2012 02:26:41 PM,-71.08222,42.35167,101000379988
0101000020E610000086A757CA32C451C055DE8E705A284540,82,2125,1305,13,7,7,Constituent Call,5 Upham Ave,R3,Ward 13,Dorchester,C11,03,5 Upham Ave  Dorchester  MA  02125,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,01/11/2012 11:08:12 AM,-71.0656,42.31526,101000373127
0101000020E610000092B06F2711C951C032207BBDFB2B4540,83,,2208,15,9,11,Self Service,INTERSECTION Cenacle Rd & Lake St,,Ward 22,Allston / Brighton,D14,04,INTERSECTION of Cenacle Rd & Lake St  Brighton  MA  ,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,Case Closed NOVIO: No Violation Found/No Cause ,Open,,01/05/2012 12:39:06 PM,-71.141672,42.34362,101000370975
0101000020E6100000F3E505D847C551C09D6340F67A2B4540,84,2118,903,13,7,9,Self Service,610 Columbus Ave,A,Ward 9,Roxbury,D4,10B,610 Columbus Ave  Roxbury  MA  02118,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,01/05/2012 10:08:12 AM,-71.08251,42.33969,101000370864
0101000020E61000009BFEEC478AC851C077A1B94E232D4540,85,2134,2105,15,9,11,Constituent Call,50 Park Vale Ave,A,Ward 21,Allston / Brighton,D14,04,50 Park Vale Ave  Allston  MA  02134,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,12/30/2011 09:23:38 AM,-71.13344,42.35264,101000369043
0101000020E61000009FC893A46BC051C0CC457C2766314540,86,2128,112,1,1,1,Constituent Call,8 Barnes Ave,R2,Ward 1,East Boston,A7,09,8 Barnes Ave  East Boston  MA  02128,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,12/21/2011 11:53:25 AM,-71.00657,42.38593,101000366696
0101000020E6100000B7B1D991EAC451C06D5512D9072D4540,87,2116,507,14,8,4,Self Service,120 Commonwealth Ave,CD,Ward 5,Back Bay,D4,1C,120 Commonwealth Ave  Boston  MA  02116,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,Case Closed VIOISS: Violation Filed ,Open,,11/21/2011 05:58:30 PM,-71.076817,42.351802,101000356347
0101000020E6100000E9D1544FE6C451C01ADEACC1FB2C4540,88,2116,507,14,8,4,Constituent Call,123 Newbury St,RC,Ward 5,Back Bay,D4,1C,123 Newbury St  Boston  MA  02116,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,11/16/2011 11:43:13 AM,-71.076557,42.351433,101000354709
0101000020E6100000D105F52D73C851C0EE42739D462E4540,89,2134,2202,15,9,11,Constituent Call,2 Mead St,R3,Ward 22,Allston / Brighton,D14,04,2 Mead St  Allston  MA  02134,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,11/07/2011 11:00:12 AM,-71.13203,42.36153,101000351418
0101000020E6100000D44334BA83C351C017D68D7747284540,90,2125,1309,7,3,7,Constituent Call,44-46 Sagamore St,R2,Ward 13,Dorchester,C11,03,44-46 Sagamore St  Dorchester  MA  02125,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,10/17/2011 08:59:52 AM,-71.054915,42.314681,101000343040
0101000020E610000022895E46B1C851C04C8E3BA583254540,91,2131,2001,10,5,9,Constituent Call,98 Knoll St,R1,Ward 20,Roslindale,E5,06,98 Knoll St  Roslindale  MA  02131,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,Case Closed NOVIO: No Violation Found/No Cause ,Open,,08/15/2011 12:33:07 PM,-71.13582,42.29308,101000314422
0101000020E61000009D11A5BDC1C351C05917B7D1002E4540,92,,,,,,Constituent Call,, , , , , , ,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,07/22/2011 06:57:07 PM,-71.0587,42.3594,101000305253
0101000020E61000004E0CC9C9C4C851C08D4468041B2D4540,93,2134,2106,15,9,11,Constituent Call,24 Armington St,R4,Ward 21,Allston / Brighton,D14,04,24 Armington St  Allston  MA  02134,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,07/08/2011 12:21:56 PM,-71.137011,42.352387,101000298927
0101000020E6100000A3AF20CD58CA51C0153AAFB14B244540,94,2132,2013,12,6,12,Constituent Call,516 Lagrange St,R1,Ward 20,West Roxbury,E5,06,516 Lagrange St  West Roxbury  MA  02132,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/12/2013 09:09:24 AM,-71.16167,42.28356,101000858190
0101000020E61000009CA73AE466C451C0A0E062450D2E4540,95,2114,504,14,8,3,Constituent Call,41 Grove St,R4,Ward 5,Beacon Hill,A1,1B,41 Grove St  Boston  MA  02114,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,12/30/2013 01:48:18 PM,-71.06878,42.35978,101000993203
0101000020E6100000DC80CF0F23C451C0AD4CF8A57E264540,96,2122,1508,8,3,7,Constituent Call,22 Josephine St,R3,Ward 15,Dorchester,C11,03,22 Josephine St  Dorchester  MA  02122,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,10/24/2013 04:42:33 PM,-71.06464,42.30074,101000953611
0101000020E6100000607138F3ABC351C0C269C18BBE264540,97,2122,1506,8,3,7,Constituent Call,56 Granger St,R3,Ward 15,Dorchester,C11,03,56 Granger St  Dorchester  MA  02122,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,07/07/2014 10:35:51 AM,-71.05737,42.30269,101001122596
0101000020E6100000B74082E2C7CA51C024B4E55C8A234540,98,2132,2005,12,6,12,Constituent Call,24 Dunwell St,R1,Ward 20,West Roxbury,E5,06,24 Dunwell St  West Roxbury  MA  02132,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/13/2013 03:28:00 PM,-71.16845,42.27766,101000859491
0101000020E610000073D53C47E4C351C06D5512D9072D4540,99,2111,308,4,2,4,Constituent Call,8 Oxford Pl,R4,Ward 3,Downtown / Financial District,A1,1C,8 Oxford Pl  Boston  MA  02111,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,02/13/2014 01:06:48 PM,-71.060808,42.351802,101001025530
0101000020E6100000706072A3C8C851C0927A4FE5B4234540,100,2131,2009,10,5,12,Constituent Call,191 Walworth St,,20,Roslindale,E5,06,191 Walworth St  Roslindale  MA  02131,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/16/2013 11:54:44 AM,-71.137246,42.278958,101000903427
0101000020E6100000A2D11DC4CEC851C040FB912232244540,101,2131,2009,10,5,12,Constituent Call,125 Walworth St,R1,Ward 20,Roslindale,E5,06,125 Walworth St  Roslindale  MA  02131,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/27/2014 07:11:40 PM,-71.13762,42.28278,101001117642
0101000020E61000009D11A5BDC1C351C05917B7D1002E4540,102,2119,1102,13,7,9,Constituent Call,22-26 Hawthorne St,,11,Roxbury,B2,10B,22-26 Hawthorne St  Roxbury  MA  02119,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,07/08/2014 09:53:23 AM,-71.0587,42.3594,101001123574
0101000020E61000009D11A5BDC1C351C05917B7D1002E4540,103,2130,1904,11,6,9,Constituent Call,8 Robinwood Ave,,19,Jamaica Plain,E13,02,8 Robinwood Ave  Jamaica Plain  MA  02130,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/27/2014 10:43:51 AM,-71.0587,42.3594,101001117271
0101000020E6100000ABB2EF8AE0C351C0A145B6F3FD2C4540,104,2111,308,4,2,4,Constituent Call,54 Beach St,RC,Ward 3,Downtown / Financial District,A1,1C,54 Beach St  Boston  MA  02111,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,02/12/2014 12:49:25 PM,-71.06058,42.3515,101001024880
0101000020E61000007A19C5724BC551C0EC4CA1F31A274540,105,2121,1403,13,4,7,Constituent Call,27 Pasadena Rd,CM,Ward 14,Roxbury,B2,03,27 Pasadena Rd  Dorchester  MA  02121,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,02/11/2014 10:58:07 AM,-71.08273,42.30551,101001023923
0101000020E6100000E82FF488D1C751C06AA2CF47192D4540,106,2215,2103,14,9,11,Constituent Call,1039-1045 Commonwealth Ave,RC,Ward 21,Allston / Brighton,D14,04,1039-1045 Commonwealth Ave  Boston  MA  02215,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,11/26/2013 08:02:36 AM,-71.122164,42.352334,101000971992
0101000020E6100000C0EC9E3C2CC451C0C073EFE192274540,107,2125,1504,8,3,7,Constituent Call,5 Coleman St,R3,Ward 15,Dorchester,C11,03,5 Coleman St  Dorchester  MA  02125,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,07/02/2014 12:32:13 PM,-71.0652,42.30917,101001120465
0101000020E6100000CD0182397AC651C083C0CAA1452A4540,108,2120,1005,14,8,9,Constituent Call,53 Hillside St,R3,Ward 10,Mission Hill,B2,10A,53 Hillside St  Mission Hill  MA  02120,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,09/02/2013 12:45:54 PM,-71.10121,42.33025,101000916065
0101000020E61000000531D0B52FC451C0E9D2BF2495274540,109,2125,1504,8,3,7,Constituent Call,3 Trent St,RL,Ward 15,Dorchester,C11,03,3 Trent St  Dorchester  MA  02125,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/18/2013 10:04:51 AM,-71.065412,42.309239,101000862095
0101000020E6100000637FD93D79CA51C075374F75C8254540,110,2132,2020,12,6,12,Constituent Call,15 Ledgewood Rd,R1,Ward 20,West Roxbury,E5,06,15 Ledgewood Rd  West Roxbury  MA  02132,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/30/2013 01:29:09 PM,-71.16365,42.29518,101000914452
0101000020E610000011018750A5CA51C048A7AE7C962B4540,111,2135,2208,15,9,11,Constituent Call,4 Lake St,R3,Ward 22,Allston / Brighton,D14,04,4 Lake St  Brighton  MA  02135,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,09/11/2013 09:12:21 AM,-71.16634,42.34053,101000923584
0101000020E61000008C67D0D03FC751C08DB454DE8E284540,112,2130,1905,11,6,9,Constituent Call,536-544 Centre St,C,Ward 19,Jamaica Plain,E13,02,536-544 Centre St  Jamaica Plain  MA  02130,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,03/24/2014 10:24:06 AM,-71.11327,42.31686,101001052789
0101000020E6100000CE70033E3FC851C068AED3484B2D4540,113,2134,2104,15,9,11,Constituent Call,50 Gardner St,R2,Ward 21,Allston / Brighton,D14,04,50 Gardner St  Allston  MA  02134,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/02/2014 02:39:43 PM,-71.12886,42.35386,101001101843
0101000020E61000008CA19C6857C551C0EB12D55B032B4540,114,2120,903,13,7,7,Constituent Call,8 Sussex St,R1,Ward 9,Roxbury,D4,10B,8 Sussex St  Mission Hill  MA  02120,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/23/2014 07:35:27 AM,-71.08346,42.33604,101001113589
0101000020E610000002BC051214C551C0261422E010264540,115,2121,1402,8,4,7,Constituent Call,134 Greenwood St,R3,Ward 14,Greater Mattapan,B3,03,134 Greenwood St  Dorchester  MA  02121,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/12/2014 10:57:13 AM,-71.07935,42.29739,101001107852
0101000020E610000077D66EBBD0C651C08F19A88C7F274540,116,2130,1107,11,6,9,Self Service,38A Union Ave,CD,Ward 11,Jamaica Plain,E13,02,38A Union Ave  Jamaica Plain  MA  02130,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,07/20/2014 11:45:47 AM,-71.10649,42.30858,101001132846
0101000020E61000008065A54929C851C0527E52EDD32D4540,117,2134,2201,15,9,11,Constituent Call,65 Empire St,A,Ward 22,Allston / Brighton,D14,04,65 Empire St  Allston  MA  02134,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,02/27/2014 01:25:31 PM,-71.12752,42.35803,101001037568
0101000020E61000002DCBD765F8C851C01EDE7360392C4540,118,2135,2109,15,9,11,Constituent Call,321 Summit Ave,A,Ward 21,Allston / Brighton,D14,04,321 Summit Ave  Brighton  MA  02135,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/23/2014 02:54:51 PM,-71.140161,42.345501,101001114176
0101000020E610000039B9DFA128C851C02041F163CC2D4540,119,2134,2201,15,9,11,Constituent Call,247 Cambridge St,R3,Ward 22,Allston / Brighton,D14,04,247 Cambridge St  Allston  MA  02134,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,03/10/2014 01:54:55 PM,-71.12748,42.3578,101001044054
0101000020E6100000EACC3D247CC851C0F433F5BA452E4540,120,2134,2202,15,9,11,Constituent Call,66-68 Raymond St,R2,Ward 22,Allston / Brighton,D14,04,66-68 Raymond St  Allston  MA  02134,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,11/21/2013 08:36:33 AM,-71.132577,42.361503,101000969471
0101000020E6100000620FED6305C951C045BB0A293F2D4540,121,2134,2106,15,9,11,Constituent Call,17 Gordon St,CD,Ward 21,Allston / Brighton,D14,04,17 Gordon St  Allston  MA  02134,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,03/21/2014 10:32:23 AM,-71.140954,42.35349,101001051624
0101000020E6100000F52D73BA2CC551C0E6CB0BB08F2C4540,122,2199,402,6,2,4,Self Service,780 Boylston St,RC,Ward 4,Back Bay,D4,1C,780 Boylston St  Boston  MA  02199,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,04/08/2014 09:51:40 AM,-71.080855,42.348135,101001063196
0101000020E61000004030478FDFC351C07E6FD39FFD2C4540,123,2111,308,4,2,4,Constituent Call,56 Beach St,RC,Ward 3,Downtown / Financial District,A1,1C,56 Beach St  Boston  MA  02111,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,02/12/2014 12:51:03 PM,-71.06052,42.35149,101001024882
0101000020E61000002A53CC41D0C751C04B732B84D5244540,124,2131,1913,10,5,12,Constituent Call,164 Florence St,R2,Ward 19,Roslindale,E5,02,164 Florence St  Roslindale  MA  02131,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/10/2014 02:48:41 PM,-71.122086,42.287766,101001106700
0101000020E6100000BD8C62B9A5C951C0DE15C1FF56224540,125,2132,2005,12,6,12,Constituent Call,8 Carol Cir,A,Ward 20,West Roxbury,E5,06,8 Carol Cir  West Roxbury  MA  02132,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,09/18/2013 10:07:58 AM,-71.15074,42.26828,101000929460
0101000020E61000005B5F24B4E5C851C0695721E5272D4540,126,2134,2106,15,9,11,Constituent Call,528 Cambridge St,R3,Ward 21,Allston / Brighton,D14,04,528 Cambridge St  Allston  MA  02134,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/30/2014 01:06:36 PM,-71.13902,42.35278,101001118633
0101000020E61000009EEA909BE1C251C0C251F2EA1C2B4540,127,2127,604,5,2,6,Constituent Call,297 Bolton St,R1,Ward 6,South Boston / South Boston Waterfront,C6,05,297 Bolton St  South Boston  MA  02127,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/09/2014 02:11:45 PM,-71.04502,42.33682,101001105935
0101000020E610000054008C67D0C651C048A7AE7C96274540,128,2130,1107,11,6,9,Constituent Call,21 Union Ave,R2,Ward 11,Jamaica Plain,E13,02,21 Union Ave  Jamaica Plain  MA  02130,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/20/2014 08:07:02 AM,-71.10647,42.30928,101001112253
0101000020E6100000732497FF90C651C05F24B4E55C2A4540,129,2120,1003,14,8,9,Constituent Call,126 Calumet St,R3,Ward 10,Mission Hill,B2,10A,126 Calumet St  Mission Hill  MA  02120,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,09/02/2013 12:47:37 PM,-71.1026,42.33096,101000916068
0101000020E61000004F5DF92CCFC551C00CE544BB0A294540,130,2119,1203,13,7,9,Constituent Call,12 Kensington St,R3,Ward 12,Roxbury,B2,10B,12 Kensington St  Roxbury  MA  02119,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,07/10/2014 02:49:38 PM,-71.09077,42.32064,101001126026
0101000020E6100000C8EF6DFAB3C351C0DEA63FFB91264540,131,2122,1508,8,3,7,Constituent Call,6 Harbell Ter,R1,Ward 15,Dorchester,C11,03,6 Harbell Ter  Dorchester  MA  02122,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,01/13/2014 10:24:12 AM,-71.05786,42.30133,101001003762
0101000020E6100000207BBDFBE3C351C01B2FDD24062D4540,132,2111,308,4,2,4,Constituent Call,9 Oxford Pl,R4,Ward 3,Downtown / Financial District,A1,1C,9 Oxford Pl  Boston  MA  02111,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,02/13/2014 01:08:04 PM,-71.06079,42.35175,101001025531
0101000020E610000032ACE28DCCC751C0AB09A2EE03284540,133,,2007,10,6,9,Constituent Call,INTERSECTION Edgemont St & South St,,Ward 20,Roslindale,E5,06,INTERSECTION of Edgemont St & South St  Roslindale  MA,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,02/21/2014 10:29:48 AM,-71.12186,42.31262,101001032840
0101000020E6100000A6D0798D5DC251C0F163CC5D4B304540,134,2128,107,1,1,1,Constituent Call,60 Princeton St,R2,Ward 1,East Boston,A7,09,60 Princeton St  East Boston  MA  02128,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/18/2014 10:26:15 AM,-71.03696,42.3773,101001110865
0101000020E61000003F3A75E5B3C751C0960854FF20244540,135,2131,1910,10,5,12,Constituent Call,70-72 Rowe St,,19,Roslindale,E5,02,70-72 Rowe St  Roslindale  MA  02131,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,11/01/2013 12:03:37 PM,-71.120355,42.282257,101000958424
0101000020E61000001956F146E6C351C049A297512C274540,136,2122,1509,8,3,7,Constituent Call,42 Lyon St,R4,Ward 15,Dorchester,C11,03,42 Lyon St  Dorchester  MA  02122,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/06/2014 06:57:26 PM,-71.06093,42.30604,101001104802
0101000020E61000003B8DB454DEC651C04277499C15294540,137,2130,1901,11,6,9,Constituent Call,56 Sheridan St,CM,Ward 19,Jamaica Plain,E13,02,56 Sheridan St  Jamaica Plain  MA  02130,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,12/09/2013 11:11:03 AM,-71.10732,42.320972,101000978663
0101000020E610000004E275FD82C351C0855AD3BCE3244540,138,,1106,11,6,9,Self Service,INTERSECTION Green St & Union Ave,,Ward 11,Jamaica Plain,E13,02,INTERSECTION of Green St & Union Ave  Jamaica Plain  MA,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,07/14/2014 03:21:46 PM,-71.05487,42.2882,101001128528
0101000020E6100000DB5031CEDFC451C0D00F2384472B4540,139,2118,902,6,7,4,Constituent Call,21 Worcester St,R3,Ward 9,South End,D4,1C,21 Worcester St  Roxbury  MA  02118,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/30/2013 02:18:07 PM,-71.07616,42.33812,101000914515
0101000020E6100000EACF7EA488C251C0CD1951DA1B304540,140,2128,106,1,1,1,Constituent Call,221-227 Border St,C,Ward 1,East Boston,A7,09,221-227 Border St  East Boston  MA  02128,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/04/2014 09:44:32 AM,-71.03959,42.37585,101001103012
0101000020E6100000EC12D55B03C151C02237C30DF8304540,141,2128,111,1,1,1,Constituent Call,97 Horace St,R2,Ward 1,East Boston,A7,09,97 Horace St  East Boston  MA  02128,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,07/14/2014 01:51:34 PM,-71.01583,42.38257,101001128328
0101000020E61000009D11A5BDC1C351C05917B7D1002E4540,142,,,,,,Constituent Call,,,,,,,,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,03/06/2014 09:01:37 AM,-71.0587,42.3594,101001041587
0101000020E6100000B2648EE55DC551C0BB0A293FA9244540,143,2124,1413,9,4,8,Constituent Call,43-45 Jones Ave,R1,Ward 14,Greater Mattapan,B3,07,43-45 Jones Ave  Dorchester  MA  02124,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/12/2014 12:11:17 PM,-71.083856,42.286415,101001107915
